w_ndiff,w_pcasc,w_nmir,w_pass,l_all,iss,vbpv,PSRR_DB,VREF,TC,LOOP_GAIN_DB,PHASE_MARGIN_DEG,GAIN_MARGIN_DB,POWER_UW,PSRR_100HZ_DB,sim_ok,sim_failure
17.55731440004109,21.293527603398,8.66637754507623,93.29934424337326,2.8463627680014723,39.77106646499021,0.5184357528048917,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
33.41701863815014,12.34563859463226,8.391058929287214,47.778938408872726,0.30444222296375,7.456007726815756,0.2304713281282331,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
13.98566100142566,35.39102243628928,6.051331655134543,91.6190492686737,6.435600495494513,37.4090981124763,0.3050277846367158,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
33.94959610946646,13.030352217502847,37.99753121317364,50.45498489126185,4.592877636439327,36.409254404687694,0.7087539189503981,10.76239,1.218962,14.94068,72.3263,-150.695,-49.0959,112.362,54.2286,1,
26.982151107700776,28.65810726676008,19.740355951656294,26.974114949419995,6.074144748479658,7.830599323079154,0.7207166677626755,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
38.30780541674826,33.08009551566559,1.228952699258356,70.46957114195708,0.40487457468041343,5.988973227691705,0.640607860525444,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
1.8646493817619,38.0693159816556,36.690631354750934,94.29570602624706,1.8807227474334578,19.037897368703984,0.5122762788525591,7.55178,1.223058,27.10048,59.909,-136.0,-21.0664,62.39216,39.74219,1,
29.505292975782904,33.14898385670759,7.014476390755536,20.044598905674803,5.799321578970155,38.80819517644186,0.7005403117171308,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
33.59463970913551,20.711778609055504,37.04335323595162,90.85173527647578,6.61487758966773,32.3312954525225,0.5797041864882639,11.61543,1.218919,15.25445,72.7119,-166.488,-49.3707,100.6169,54.89592,1,
37.630540054026,37.48625100672848,29.99824926797957,99.31190208495825,7.080059214198233,12.687660325753768,0.32403595642878313,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
9.934594300580093,6.139606963913968,34.44009864198689,10.708541045481395,3.1186432289827626,39.92713800009258,0.7328481144951393,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
39.368467185524835,22.010387929228724,19.46000969291437,19.06102397416967,3.4521147521636526,13.668728032058347,0.43652933802558125,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
9.71528823324413,20.899193410280475,21.23309842113633,58.50635176600462,5.674585382023781,7.695189115810646,0.8062905116383607,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
13.138763261939758,16.49905798378679,10.997069280641577,43.461461865813106,4.391621442210146,38.61859953471285,0.5375691862663325,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
11.056937063923103,26.340511381472673,8.980606507611853,66.06564328389999,4.343701169810303,6.677966775900564,0.37529852898558613,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
10.879245990001337,31.00085675790862,20.679365901615945,17.032798312436697,6.149051548241133,12.995544805281769,0.5940463338562518,-200.0,nan,nan,nan,nan,nan,nan,nan,0,no_convergence
9.900291617320214,8.339757160039095,32.23503407439975,29.10448389297923,1.7399727897463684,32.1856906435556,0.3203879135927795,7.306959,1.220056,17.4905,65.7847,-137.93900000000002,-31.626,100.2139,46.71536,1,
